epoch,global_step,train_loss_epoch,timestamp
0,457,0.16078005731105804,2026-07-16T08:07:15+02:00
1,912,0.1251496523618698,2026-07-20T07:50:48+02:00
2,1367,0.12131787091493607,2026-07-20T17:08:14+02:00
3,1822,0.1343705952167511,2026-07-21T11:53:55+02:00
4,2276,0.12169448286294937,2026-07-21T19:29:08+02:00
5,2730,0.123274065554142,2026-07-22T03:55:54+02:00
6,3185,0.11842095106840134,2026-07-23T00:15:04+02:00
7,3640,0.1112666130065918,2026-07-28T10:30:03+02:00
8,4094,0.12136604636907578,2026-07-28T19:06:32+02:00
9,4550,0.11249087750911713,2026-07-30T02:53:33+02:00
10,5005,0.10833493620157242,2026-07-31T03:33:09+02:00
11,5459,0.11983638256788254,2026-07-31T11:46:38+02:00
12,5913,0.1198941022157669,2026-07-31T20:02:01+02:00
12,5914,0.12282434850931168,2026-07-31T20:42:09+02:00
13,6368,0.11779379099607468,2026-08-01T04:44:03+02:00
14,6822,0.11822586506605148,2026-08-01T14:08:04+02:00
15,7276,0.11409125477075577,2026-08-01T22:18:59+02:00
16,7731,0.10756663978099823,2026-08-02T15:44:38+02:00
17,8186,0.10519444197416306,2026-08-03T00:32:53+02:00
18,8640,0.11631730198860168,2026-08-03T08:01:09+02:00
19,9094,0.11693047732114792,2026-08-03T15:24:20+02:00
20,9548,0.11058257520198822,2026-08-03T22:46:50+02:00
