timestamp,temp_c,util_pct,mem_used_mib,mem_total_mib,power_w,sm_clock_mhz
2026-09-21 00:04:36,42,0,0,8151,13.89,0
2026-09-21 00:04:42,43,0,12,8151,13.23,0
2026-09-21 00:04:49,46,100,7880,8151,30.21,2955
2026-09-21 00:04:55,48,100,7880,8151,32.92,2955
2026-09-21 00:05:01,49,100,7882,8151,33.14,2955
2026-09-21 00:05:07,50,100,7882,8151,33.01,2955
2026-09-21 00:05:13,52,100,7882,8151,43.78,2827
2026-09-21 00:05:19,51,100,7882,8151,32.08,2955
2026-09-21 00:05:25,51,100,7882,8151,35.58,2955
2026-09-21 00:05:31,52,100,7882,8151,32.65,2955
2026-09-21 00:05:37,52,100,7882,8151,30.45,2955
2026-09-21 00:05:42,51,100,7882,8151,29.89,2955
2026-09-21 00:05:48,51,100,7882,8151,29.72,2955
2026-09-21 00:05:54,52,100,7882,8151,34.28,2955
2026-09-21 00:06:00,52,100,7882,8151,30.49,2955
2026-09-21 00:06:06,51,100,7882,8151,29.65,2955
2026-09-21 00:06:12,53,100,7882,8151,40.78,2820
2026-09-21 00:06:17,49,0,7882,8151,32.96,562
2026-09-21 00:06:23,51,100,7882,8151,32.10,2917
2026-09-21 00:06:29,53,100,7882,8151,37.69,2955
2026-09-21 00:06:35,52,100,7882,8151,38.46,2917
2026-09-21 00:06:41,51,100,7882,8151,30.62,2955
2026-09-21 00:06:48,51,100,7882,8151,33.43,2955
2026-09-21 00:06:54,51,100,7882,8151,32.87,2932
2026-09-21 00:07:00,50,100,7882,8151,33.05,2955
2026-09-21 00:07:06,51,100,7882,8151,33.37,2955
2026-09-21 00:07:11,50,100,7882,8151,31.31,2955
2026-09-21 00:07:17,49,100,7882,8151,31.56,2955
2026-09-21 00:07:23,50,100,7882,8151,30.54,2955
2026-09-21 00:07:29,49,100,7882,8151,32.00,2955
2026-09-21 00:07:35,49,100,7882,8151,32.11,2955
2026-09-21 00:07:41,49,100,7882,8151,31.47,2955
2026-09-21 00:07:47,49,100,7882,8151,33.04,2955
2026-09-21 00:07:53,49,100,7882,8151,32.12,2955
2026-09-21 00:07:59,50,100,7882,8151,31.23,2917
2026-09-21 00:08:05,50,100,7882,8151,32.43,2955
2026-09-21 00:08:11,50,100,7882,8151,31.32,2955
2026-09-21 00:08:17,50,100,7882,8151,29.93,2955
2026-09-21 00:08:22,50,100,7882,8151,30.10,2955
2026-09-21 00:08:28,51,100,7882,8151,41.04,2955
2026-09-21 00:08:34,49,100,7882,8151,33.26,2925
2026-09-21 00:08:40,49,100,7882,8151,37.76,2955
2026-09-21 00:08:46,49,100,7882,8151,31.44,2955
2026-09-21 00:08:52,53,100,7876,8151,31.58,2955
2026-09-21 00:08:58,50,100,7876,8151,33.67,2955
2026-09-21 00:09:04,50,100,7876,8151,43.79,2955
2026-09-21 00:09:10,55,100,7876,8151,34.47,2955
2026-09-21 00:09:16,50,100,7876,8151,33.69,2955
2026-09-21 00:09:22,51,100,7876,8151,44.79,2932
2026-09-21 00:09:28,51,100,7876,8151,31.56,2955
2026-09-21 00:09:34,51,100,7876,8151,32.14,2955
2026-09-21 00:09:40,51,100,7876,8151,32.10,2955
2026-09-21 00:09:46,51,100,7876,8151,34.81,2955
2026-09-21 00:09:52,51,100,7876,8151,33.76,2955
2026-09-21 00:09:58,51,100,7876,8151,32.13,2955
2026-09-21 00:10:04,50,100,7876,8151,32.91,2955
2026-09-21 00:10:10,50,100,7876,8151,31.27,2955
2026-09-21 00:10:15,52,100,7876,8151,37.49,2955
2026-09-21 00:10:21,50,100,7876,8151,31.41,2955
2026-09-21 00:10:27,50,100,7876,8151,31.36,2955
2026-09-21 00:10:33,51,100,7876,8151,31.68,2955
2026-09-21 00:10:39,50,100,7876,8151,32.64,2955
2026-09-21 00:10:45,51,100,7876,8151,32.46,2955
2026-09-21 00:10:51,52,100,7876,8151,40.79,2850
2026-09-21 00:10:57,51,100,7876,8151,32.19,2955
2026-09-21 00:11:03,51,100,7876,8151,31.66,2955
2026-09-21 00:11:09,50,100,7876,8151,34.22,2955
2026-09-21 00:11:15,50,100,7876,8151,31.69,2955
2026-09-21 00:11:20,50,100,7876,8151,35.31,2947
2026-09-21 00:11:26,50,100,7876,8151,34.31,2955
2026-09-21 00:11:32,50,100,7876,8151,16.25,1912
2026-09-21 00:11:38,50,100,7876,8151,30.97,2955
2026-09-21 00:11:44,50,100,7876,8151,31.18,2955
2026-09-21 00:11:50,50,100,7876,8151,30.86,2955
2026-09-21 00:11:56,50,100,7876,8151,31.48,2955
2026-09-21 00:12:02,50,100,7876,8151,28.88,2955
2026-09-21 00:12:08,62,100,7876,8151,50.74,2902
2026-09-21 00:12:14,51,100,7876,8151,35.53,2955
2026-09-21 00:12:20,51,100,7876,8151,32.96,2955
2026-09-21 00:12:26,48,0,7876,8151,32.92,1080
2026-09-21 00:12:32,50,100,7876,8151,31.36,2955
2026-09-21 00:12:38,50,100,7876,8151,31.34,2955
2026-09-21 00:12:43,51,100,7876,8151,35.76,2955
2026-09-21 00:12:49,50,100,7876,8151,32.11,2947
2026-09-21 00:12:55,50,100,7876,8151,32.81,2955
2026-09-21 00:13:01,50,100,7876,8151,32.84,2955
2026-09-21 00:13:07,50,100,7876,8151,33.60,2917
2026-09-21 00:13:13,51,100,7876,8151,34.64,2955
2026-09-21 00:13:19,51,100,7876,8151,21.06,2782
2026-09-21 00:13:25,51,100,7876,8151,32.96,2955
