tag,dataset,method,category,status,exit_code,wall_s,peak_vram_mb,meta_epochs,batch_size,auroc_mean,pixel_auroc_mean,sal_f1_mean,reason,log_path,results_csv
smoke,mvtec,patchcore,bottle,ok,0,24.3,2329,1,,1.0,0.9878042936325073,0.6735309958457947,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\patchcore__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\patchcore__bottle\patchcore__layer2_layer3_\results_patchcore.csv
smoke,mvtec,padim,bottle,ok,0,130.3,1671,1,,1.0,0.9871643781661987,0.7154403924942017,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\padim__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\padim__bottle\padim__layer2_layer3_\results_padim.csv
smoke,mvtec,winclip,bottle,ok,0,192.7,3768,1,,0.9992063641548157,0.9584528207778931,0.705161988735199,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\winclip__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\winclip__bottle\winclip__layer2_layer3_\results_winclip.csv
smoke,mvtec,simple,bottle,ok,0,39.5,3336,1,,0.9626984000205994,0.5648015737533569,0.13652731478214264,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\simple__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\simple__bottle\simple__layer2_layer3_\results_simple.csv
smoke,mvtec,rd_orig,bottle,ok,0,16.1,8282,1,,0.8865079879760742,0.869194746017456,0.1661626100540161,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\rd_orig__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\rd_orig__bottle\rd_orig__layer2_layer3_\results_rd_orig.csv
smoke,mvtec,rd,bottle,ok,0,43.4,11792,1,,0.6499999761581421,0.8191350698471069,0.15863388776779175,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\rd__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\rd__bottle\rd__layer2_layer3_\results_rd.csv
smoke,mvtec,dinomaly,bottle,timeout,,900.0,11816,1,,,,,exceeded 900s,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\dinomaly__mvtec__bottle.log,
smoke,mvtec,uniad,bottle,ok,0,14.4,1839,1,,0.7095237970352173,0.5178350210189819,0.09196741133928299,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\uniad__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\uniad__bottle\uniad__layer2_layer3_\results_uniad.csv
smoke,mvtec,promptad,bottle,ok,0,57.6,5119,1,,1.0,0.9902386665344238,0.8024367094039917,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\promptad__mvtec__bottle.log,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\results\promptad__bottle\promptad__layer2_layer3_\results_promptad.csv
smoke,mvtec,coad,bottle,ok,0,405.2,6440,1,,,,,,C:\Users\owen3\Desktop\labs\No_Submit\code\dinomaly_share_codebase\dinomaly_share_codebase\results_w55\smoke\run_logs\coad__mvtec__bottle.log,
