tag,dataset,method,category,status,wall_s,startup_s,data_s,model_s,run_s,infer_s_per_img,pixel_infer_s_per_img,peak_vram_mb,meta_epochs,auroc_mean,pixel_auroc_mean
mvtec_dinomaly,mvtec,dinomaly,bottle,ok,679.9,5.3,0.0,2.9,671.7,,,11825,,1.0,0.9916131496429443
mvtec_dinomaly,mvtec,dinomaly,cable,ok,758.6,5.3,0.0,3.0,750.3,,,11786,,0.9859445095062256,0.978908896446228
mvtec_dinomaly,mvtec,dinomaly,capsule,timeout,900.0,-606.6,0.0,2.9,1503.7,,,11808,,,
mvtec_dinomaly,mvtec,dinomaly,carpet,ok,753.1,5.3,0.0,2.9,744.9,,,11804,,1.0,0.9949952363967896
mvtec_dinomaly,mvtec,dinomaly,grid,timeout,900.0,-93.9,0.0,3.0,990.9,,,11811,,,
mvtec_dinomaly,mvtec,dinomaly,hazelnut,timeout,900.0,-255.5,0.0,3.0,1152.5,,,11799,,,
mvtec_dinomaly,mvtec,dinomaly,leather,timeout,900.0,-62.4,0.0,2.9,959.5,,,11810,,,
mvtec_dinomaly,mvtec,dinomaly,metal_nut,timeout,900.0,-1875.2,0.0,3.0,2772.2,,,11812,,,
mvtec_dinomaly,mvtec,dinomaly,pill,timeout,900.0,780.2,0.0,3.0,116.8,,,11806,,,
mvtec_dinomaly,mvtec,dinomaly,screw,ok,714.7,5.4,0.0,2.9,706.4,,,11800,,0.9161713123321533,0.9922375679016113
mvtec_dinomaly,mvtec,dinomaly,toothbrush,timeout,900.0,449.6,0.0,3.2,447.2,,,11829,,,
mvtec_dinomaly,mvtec,dinomaly,capsule,timeout,1200.0,-306.6,0.0,2.9,1503.7,,,11787,,,
mvtec_dinomaly,mvtec,dinomaly,grid,ok,999.2,5.3,0.0,3.0,990.9,,,11788,,1.0,0.9951679706573486
mvtec_dinomaly,mvtec,dinomaly,hazelnut,ok,1160.8,5.3,0.0,3.0,1152.5,,,11787,,1.0,0.9959570169448853
mvtec_dinomaly,mvtec,dinomaly,tile,ok,907.7,5.1,0.0,3.0,899.6,,,11807,,1.0,0.9795605540275574
mvtec_dinomaly,mvtec,dinomaly,transistor,ok,1032.4,5.3,0.0,2.9,1024.2,,,11802,,0.9895833730697632,0.9202150106430054
mvtec_dinomaly,mvtec,dinomaly,wood,ok,1593.5,5.3,0.0,3.0,1585.2,,,11804,,0.9964912533760071,0.9759107828140259
mvtec_dinomaly,mvtec,dinomaly,zipper,ok,674.7,5.6,0.0,3.0,666.1,,,11788,,0.9963235259056091,0.9858699440956116
mvtec_dinomaly,mvtec,dinomaly,capsule,ok,1512.1,5.5,0.0,2.9,1503.7,,,11801,,0.963701605796814,0.987067461013794
mvtec_dinomaly,mvtec,dinomaly,leather,ok,967.7,5.3,0.0,2.9,959.5,,,11801,,1.0,0.9939061999320984
mvtec_dinomaly,mvtec,dinomaly,metal_nut,ok,2780.7,5.5,0.0,3.0,2772.2,,,11809,,1.0,0.9748238921165466
mvtec_rd,mvtec,rd,bottle,ok,227.8,5.2,0.0,2.3,220.3,,,11793,10,0.9960317611694336,0.9865687489509583
mvtec_rd,mvtec,rd,cable,ok,234.4,5.2,0.0,2.3,226.9,,,11750,10,0.9407796263694763,0.973080039024353
mvtec_rd,mvtec,rd,capsule,ok,228.9,5.1,0.0,2.4,221.4,,,11750,10,0.8635820150375366,0.9788048267364502
mvtec_rd,mvtec,rd,carpet,ok,291.6,5.3,0.0,2.3,284.0,,,11784,10,0.9951845407485962,0.991814374923706
mvtec_rd,mvtec,rd,grid,ok,266.7,5.2,0.0,2.3,259.2,,,11753,10,0.890559732913971,0.9201630353927612
mvtec_rd,mvtec,rd,hazelnut,ok,394.8,5.3,0.0,2.3,387.2,,,11755,10,1.0,0.9913061261177063
mvtec_rd,mvtec,rd,leather,ok,258.3,5.2,0.0,2.4,250.7,,,11791,10,1.0,0.9947085976600647
mvtec_rd,mvtec,rd,metal_nut,ok,225.3,5.2,0.0,2.3,217.8,,,11761,10,0.992668628692627,0.9722604751586914
mvtec_rd,mvtec,rd,pill,ok,272.2,5.1,0.0,2.3,264.8,,,11757,10,0.8584288358688354,0.9556864500045776
mvtec_rd,mvtec,rd,screw,ok,322.5,5.3,0.0,2.3,314.9,,,11795,10,0.8227096199989319,0.9859930872917175
mvtec_rd,mvtec,rd,tile,ok,237.2,5.2,0.0,2.3,229.7,,,11760,10,0.994949460029602,0.9582803249359131
mvtec_rd,mvtec,rd,toothbrush,ok,70.2,5.2,0.0,2.3,62.7,,,11760,10,0.9888888597488403,0.986730694770813
mvtec_rd,mvtec,rd,transistor,ok,226.6,5.3,0.0,2.3,219.0,,,11761,10,0.9774999618530273,0.9052882194519043
mvtec_rd,mvtec,rd,wood,ok,256.1,5.2,0.0,2.4,248.5,,,11799,10,0.99210524559021,0.9556058049201965
mvtec_rd,mvtec,rd,zipper,ok,240.3,5.1,0.0,2.4,232.8,,,11762,10,0.9030987620353699,0.9643879532814026
mvtec_rd_orig,mvtec,rd_orig,bottle,ok,200.3,5.3,0.0,2.3,192.7,,,7971,35,1.0,0.9890332221984863
mvtec_rd_orig,mvtec,rd_orig,cable,ok,315.5,5.2,0.0,2.3,308.0,,,7993,35,0.9713268280029297,0.9747571349143982
mvtec_rd_orig,mvtec,rd_orig,capsule,ok,301.8,5.1,0.0,2.3,294.4,,,8025,35,0.9533306360244751,0.9849380254745483
mvtec_rd_orig,mvtec,rd_orig,carpet,ok,378.5,5.1,0.0,2.2,371.2,,,7962,35,0.9919742941856384,0.9901849627494812
mvtec_rd_orig,mvtec,rd_orig,grid,ok,240.4,5.1,0.0,2.3,233.0,,,7990,35,0.9908103942871094,0.990913450717926
mvtec_rd_orig,mvtec,rd_orig,hazelnut,ok,513.1,5.2,0.0,2.3,505.6,,,7965,35,1.0,0.9905741214752197
mvtec_rd_orig,mvtec,rd_orig,leather,ok,301.8,5.1,0.0,2.3,294.4,,,7968,35,1.0,0.9944395422935486
